text,sentiment,brand
Try to be friendly and adorable. Need more hospitality. This is Starbucks!,negative,Starbucks
Kasirnya jutek sekali!!! Harusnya bisa ramah ke pelanggan,negative,Starbucks
Beli cappucino rasa nya kaya kopi sachet,negative,Starbucks
The coffee was like milk. Cummon Starbucks!!! You can do better!!!,negative,Starbucks
Tydak ramah bintang satu,negative,Starbucks
Cocok sekali kalau untuk meetup,positive,Starbucks
Mantaph,positive,Starbucks
Jam 9 uda closingan pdhl hrusnya jam 10 malem,negative,Starbucks
Suasananya santai di sini bisa untuk meeting,positive,Starbucks
SEKELAS SBUCKS MINIM COLOKAN?! ARE U SERIOUS!? ____,negative,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Nice,positive,Starbucks
Beli cappucino rasa nya kaya kopi sachet,negative,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Orderan di lewat terus,negative,Starbucks
Steategis,positive,Starbucks
One of my favorite starbucks branch __,positive,Starbucks
Tempatnya enak buat nongkrong2,positive,Starbucks
Buruk,negative,Starbucks
Service kurang baik.Harus ada penambahan karyawan lagi.Jangan sampai membuat customer menunggu pesanan lama.,negative,Starbucks
Ngarugikeun batur,negative,Starbucks
Panjang amat,positive,Starbucks
Kalau tidak ada jangan di di tampilim di aplikasi,negative,Starbucks
Yang kurang cuma lahan parkirnya benerrrrr. sama baristanya masih ada beberapa yang kurang senyum tetapi aku ngertiin krn kerja kan pasti capek yah. tetapi kalau bisa capeknya jangan sampe ketauan customer.,positive,Starbucks
Good coffe,positive,Starbucks
Hebat,positive,Starbucks
Relatively large area with indoor and outdoor space. Cozy ambiance. Friendly services. They also have parking area. Recommended place to work in Cimahi.,positive,Starbucks
Lokasi nyaman dan pelayanan baik hanya saja tempat parkir terbatas mobil hanya masuk 6 unit sisanya pararel,positive,Starbucks
Kalau tidak ada jangan di di tampilim di aplikasi,negative,Starbucks
Standard Starbuck,positive,Starbucks
Gara gara ada ajn saya males kesitu dan ini Starbucks dari israel,negative,Starbucks
Baik,positive,Starbucks
SEKELAS SBUCKS MINIM COLOKAN?! ARE U SERIOUS!? ____,negative,Starbucks
Nyaman dan parkir tertata dengan baik,positive,Starbucks
Pelayanan buruk dari barista nya kalau pelayanan buruk gtu bisa bisa hancur Jangan mentang mentang sudah jadi coffe shop besar bisa seenaknya,negative,Starbucks
Mihil,positive,Starbucks
Beli 2 botol saja harus nunggu 1jam... Parah bangeeeeettt pelayanan nya,negative,Starbucks
Nice,positive,Starbucks
Bersih tempat ny. dan baik pelayanan ny,negative,Starbucks
Bukan penggemar kopi mahal,negative,Starbucks
Buatnya lama,negative,Starbucks
Favorite,positive,Starbucks
Kok gini yah pelayanan star buck. Saya minta Refill air panas untuk teh yang saya sudah beli. Pelayan nya bilang enggak boleh Saya mau beli lagi teh tetapi jangan di seduh TIDAK BOLEH KATANYA,negative,Starbucks
Staffnya sengaja nolak pembayaran lewat card karena saya mau claim free food/beverage,negative,Starbucks
Menyenangkan...buka dari jam 8 __,positive,Starbucks
Pelayanannya kirang,negative,Starbucks
Kok gini yah pelayanan star buck. Saya minta Refill air panas untuk teh yang saya sudah beli. Pelayan nya bilang enggak boleh Saya mau beli lagi teh tetapi jangan di seduh TIDAK BOLEH KATANYA,negative,Starbucks
My breakfast place,positive,Starbucks
Akhirnya ada Starbucks di Cimahi.,positive,Starbucks
Paskal,positive,Starbucks
PELAYANAN SANGAT BURUK DAN SANGAT LAMA,negative,Starbucks
Bagus,positive,Starbucks
Tempatnya nyaman seperti starbuck laiinya. Yang membedakan lokasinya strategis ditempat bersejarah. Karyawan ramah dan sangat membantu waktu kesulitan mencas laptop karena posisnya dibawah kursi.,positive,Starbucks
Suasana clasic nya masih kental tempat nongkrong nya,positive,Starbucks
Jelek,negative,Starbucks
Some leaks near entrance door probably from central AC,positive,Starbucks
Madeff,positive,Starbucks
Toiletnya rusak..bau tak sedap di lobby belakang,negative,Starbucks
Tempatnya bersih dan nyaman... Rasa makanan dan minuman nya konsisten.,positive,Starbucks
